iter	Passed	Remaining
0	985	196156
1	1665	164842
2	2575	169096
3	3293	161395
4	4063	158465
5	4642	150122
6	5172	142612
7	5706	136950
8	6189	131361
9	6904	131176
10	7603	130643
11	8237	129052
12	8973	129076
13	9648	128189
14	10283	126835
15	10902	125380
16	11479	123572
17	12041	121757
18	12588	119924
19	13276	119486
20	14121	120371
21	14749	119336
22	15567	119800
23	16315	119648
24	17116	119812
25	17642	118071
26	18327	117434
27	18788	115413
28	19371	114225
29	19999	113329
30	20614	112382
31	21258	111609
32	22004	111354
33	22616	110420
34	23210	109420
35	23776	108317
36	24369	107356
37	25085	106941
38	25664	105947
39	26295	105180
40	26993	104683
41	27487	103406
42	28036	102364
43	28622	101480
44	29202	100587
45	29904	100114
46	30525	99369
47	31188	98762
48	31812	98035
49	32416	97249
50	32922	96184
51	33437	95167
52	33998	94297
53	34578	93491
54	35094	92522
55	35620	91594
56	36212	90848
57	36816	90137
58	37462	89528
59	38291	89346
60	38765	88333
61	39357	87601
62	40057	87108
63	40933	86982
64	41614	86430
65	42113	85503
66	42546	84457
67	43210	83878
68	43854	83259
69	44480	82606
70	45095	81934
71	45703	81249
72	46350	80637
73	46877	79819
74	47466	79111
75	48155	78569
76	48852	78037
77	49432	77317
78	49970	76537
79	50548	75823
80	51068	75026
81	51704	74404
82	52189	73568
83	52625	72673
84	53190	71963
85	53736	71232
86	54288	70512
87	54904	69878
88	55519	69243
89	56122	68594
90	56788	68021
91	57508	67510
92	58173	66930
93	58656	66144
94	59360	65608
95	59985	64984
96	60538	64282
97	61091	63585
98	61652	62898
99	62240	62240
100	62778	61535
101	63406	60920
102	64050	60319
103	64608	59638
104	65242	59028
105	65929	58465
106	66502	57801
107	67069	57133
108	67627	56459
109	68294	55877
110	68863	55215
111	69450	54568
112	69954	53858
113	70373	53088
114	70747	52291
115	71269	51608
116	71754	50902
117	72257	50213
118	72697	49483
119	73148	48765
120	73739	48144
121	74238	47464
122	74747	46793
123	75081	46017
124	75498	45299
125	75926	44591
126	76442	43939
127	76989	43306
128	77429	42616
129	77886	41938
130	78348	41267
131	78806	40597
132	79209	39902
133	79719	39264
134	80164	38597
135	80596	37927
136	81107	37297
137	81716	36713
138	82187	36068
139	82605	35402
140	83067	34758
141	83545	34124
142	83965	33468
143	84529	32872
144	85129	32290
145	85670	31686
146	86215	31084
147	86701	30462
148	87190	29843
149	87674	29224
150	88205	28623
151	88686	28006
152	89184	27396
153	89627	26771
154	90097	26157
155	90691	25579
156	91379	25027
157	91814	24406
158	92340	23811
159	92875	23218
160	93342	22610
161	93884	22022
162	94340	21414
163	94797	20809
164	95234	20201
165	95683	19597
166	96120	18993
167	96627	18405
168	97047	17801
169	97505	17206
170	97984	16617
171	98443	16025
172	98920	15438
173	99385	14850
174	99781	14254
175	100220	13666
176	100706	13086
177	101240	12512
178	101698	11931
179	102159	11351
180	102624	10772
181	103076	10194
182	103534	9617
183	103971	9040
184	104408	8465
185	104917	7897
186	105329	7322
187	105770	6751
188	106238	6183
189	106686	5615
190	107076	5045
191	107580	4482
192	108015	3917
193	108421	3353
194	108883	2791
195	109369	2232
196	109785	1671
197	110328	1114
198	110842	556
199	111225	0
