iter	Passed	Remaining
0	841	167401
1	1461	144709
2	2146	140982
3	2844	139374
4	3509	136854
5	4103	132688
6	4693	129419
7	5326	127837
8	5971	126726
9	6643	126235
10	7360	126472
11	8045	126038
12	8709	125282
13	9372	124523
14	10100	124578
15	10953	125964
16	11522	124039
17	12397	125352
18	12977	123627
19	13673	123065
20	14373	122516
21	15086	122066
22	15674	120628
23	16326	119724
24	17044	119311
25	17697	118435
26	18436	118130
27	18976	116570
28	19501	114993
29	20349	115311
30	21054	114778
31	21756	114223
32	22630	114525
33	23284	113682
34	24491	115459
35	25431	115854
36	26167	115277
37	27009	115146
38	27736	114503
39	28356	113427
40	29040	112618
41	29768	111986
42	30455	111196
43	31156	110463
44	31855	109724
45	32813	109855
46	33620	109444
47	34423	109009
48	35102	108172
49	36098	108295
50	37245	108814
51	38048	108291
52	38735	107435
53	39273	106183
54	39695	104651
55	40146	103233
56	40589	101831
57	40995	100368
58	41398	98934
59	41829	97601
60	42252	96279
61	42713	95072
62	43431	94447
63	43913	93316
64	44323	92056
65	44770	90898
66	45278	89880
67	45840	88985
68	46312	87926
69	46786	86889
70	47315	85968
71	47787	84956
72	48299	84028
73	48834	83151
74	49373	82289
75	49847	81330
76	50305	80358
77	50803	79461
78	51282	78545
79	51759	77639
80	52206	76698
81	52649	75764
82	53064	74802
83	53462	73829
84	54058	73138
85	54504	72249
86	55027	71471
87	55490	70624
88	56004	69848
89	56474	69024
90	56903	68158
91	57469	67464
92	58004	66736
93	58407	65863
94	58947	65152
95	59570	64534
96	60012	63724
97	60478	62946
98	60900	62131
99	61392	61392
100	61912	60686
101	62478	60027
102	62974	59305
103	63410	58532
104	63939	57849
105	64438	57143
106	64895	56404
107	65374	55689
108	65842	54969
109	66417	54341
110	66960	53689
111	67534	53062
112	68122	52448
113	68738	51855
114	69368	51272
115	70090	50755
116	70760	50197
117	71472	49667
118	72089	49069
119	72835	48556
120	73620	48066
121	74284	47493
122	75088	47006
123	75691	46391
124	76414	45848
125	77190	45334
126	78094	44888
127	78871	44365
128	79559	43788
129	80357	43269
130	81106	42720
131	81824	42152
132	82506	41563
133	83311	41034
134	83949	40420
135	84702	39860
136	85489	39312
137	86177	38717
138	86959	38162
139	87616	37550
140	88442	37007
141	89226	36444
142	89973	35863
143	90755	35293
144	91586	34739
145	92340	34153
146	93016	33536
147	93763	32944
148	94514	32350
149	95270	31756
150	95991	31149
151	96654	30522
152	97332	29899
153	98007	29275
154	98699	28654
155	99400	28036
156	100137	27426
157	100721	26773
158	101500	26173
159	102229	25557
160	102943	24936
161	103736	24333
162	104493	23719
163	105155	23082
164	106116	22509
165	106956	21906
166	107707	21283
167	108450	20657
168	109371	20062
169	110213	19449
170	110795	18789
171	111501	18151
172	112251	17518
173	113019	16888
174	113718	16245
175	114481	15611
176	115377	14992
177	116314	14375
178	117292	13760
179	118297	13144
180	119641	12559
181	120399	11907
182	121325	11270
183	122114	10618
184	122847	9960
185	123616	9304
186	124322	8642
187	125003	7978
188	125728	7317
189	126489	6657
190	127095	5988
191	127860	5327
192	128640	4665
193	129345	4000
194	130016	3333
195	130886	2671
196	131509	2002
197	132266	1336
198	133049	668
199	133627	0
